reservation_id,user_id,user_total_bookings,user_cancelled_bookings,user_recent_bookings_30d,loyalty_level,loyalty_points,date_reservation,seance_date_heure,days_until_seance,booking_lead_hours,seance_hour,seance_weekday,is_weekend,prix_base,langue,film_genre,seat_number,is_premium_seat,statut,cancellation_target
36,3,11,3,5,BRONZE,128,2026-02-15T23:00:00,2026-02-22T06:00:00,7,151,6,6,1,15.15,AR,Sci-Fi,79,0,PENDING,0
37,3,12,4,9,BRONZE,128,2025-12-05T10:00:00,2025-12-19T21:00:00,14,347,21,4,0,28.34,FR,Sci-Fi,113,0,CANCELLED,1
38,3,13,4,3,BRONZE,128,2026-03-21T07:00:00,2026-04-06T09:00:00,16,386,9,0,0,23.06,FR,Animation,92,0,CONFIRMED,0
39,3,14,4,7,BRONZE,128,2026-02-10T18:00:00,2026-02-21T10:00:00,11,256,10,5,1,17.02,VO,Action,82,0,CONFIRMED,0
40,4,1,0,0,BRONZE,53,2026-03-08T20:00:00,2026-03-20T20:00:00,12,288,20,4,0,26.11,EN,Action,114,0,CONFIRMED,0
41,4,2,0,0,BRONZE,53,2026-04-09T23:00:00,2026-04-22T15:00:00,13,304,15,2,0,23.05,FR,Action,47,0,PENDING,0
42,4,3,0,1,BRONZE,53,2026-04-08T23:00:00,2026-04-13T16:00:00,5,113,16,0,0,25.64,EN,Drama,72,0,CONFIRMED,0
43,4,4,1,3,BRONZE,53,2025-11-12T06:00:00,2025-12-02T05:00:00,20,479,5,1,0,30.6,AR,Thriller,104,0,CANCELLED,1
44,4,5,1,3,BRONZE,53,2026-01-04T10:00:00,2026-01-08T11:00:00,4,97,11,3,0,26.73,FR,Thriller,103,0,PENDING,0
45,4,6,1,3,BRONZE,53,2026-02-15T02:00:00,2026-02-18T17:00:00,3,87,17,2,0,27.75,FR,Thriller,110,0,CONFIRMED,0
46,5,1,0,0,BRONZE,78,2025-11-02T04:00:00,2025-11-10T22:00:00,8,210,22,0,0,18.57,AR,Thriller,36,0,CONFIRMED,0
47,5,2,0,1,BRONZE,78,2025-10-27T17:00:00,2025-11-04T00:00:00,8,175,0,1,0,30.78,FR,Thriller,23,0,PENDING,0
48,5,3,0,0,BRONZE,78,2026-04-10T07:00:00,2026-04-23T06:00:00,13,311,6,3,0,20.69,AR,Drama,78,0,CONFIRMED,0
49,5,4,0,3,BRONZE,78,2025-11-23T04:00:00,2025-11-28T20:00:00,5,136,20,4,0,12.89,FR,Horror,104,0,CONFIRMED,0
50,5,5,0,4,BRONZE,78,2025-10-30T04:00:00,2025-11-07T04:00:00,8,192,4,4,0,20.63,VO,Thriller,80,0,PENDING,0
51,5,6,1,1,BRONZE,78,2026-02-01T18:00:00,2026-02-08T14:00:00,7,164,14,6,1,25.34,FR,Sci-Fi,71,0,CANCELLED,1
52,5,7,1,2,BRONZE,78,2026-01-01T22:00:00,2026-01-16T14:00:00,15,352,14,4,0,26.96,FR,Animation,52,0,CONFIRMED,0
53,5,8,1,2,BRONZE,78,2026-02-05T04:00:00,2026-02-14T14:00:00,9,226,14,5,1,27.72,EN,Drama,57,0,CONFIRMED,0
54,5,9,2,5,BRONZE,78,2025-12-19T05:00:00,2026-01-02T12:00:00,14,343,12,4,0,13.7,EN,Sci-Fi,43,0,CANCELLED,1
55,5,10,2,3,BRONZE,78,2026-02-18T01:00:00,2026-02-23T02:00:00,5,121,2,0,0,28.13,FR,Action,61,0,PENDING,0
56,5,11,2,7,BRONZE,78,2025-12-23T21:00:00,2026-01-12T00:00:00,20,459,0,0,0,24.6,FR,Sci-Fi,64,0,CONFIRMED,0
57,5,12,3,11,BRONZE,78,2025-10-25T10:00:00,2025-11-13T17:00:00,19,463,17,3,0,27.02,AR,Action,55,0,CANCELLED,1
58,5,13,4,12,BRONZE,78,2025-10-22T18:00:00,2025-11-01T21:00:00,10,243,21,5,1,13.0,FR,Romance,59,0,CANCELLED,1
59,6,1,0,0,SILVER,464,2025-12-26T18:00:00,2026-01-05T02:00:00,10,224,2,0,0,28.61,EN,Thriller,96,0,CONFIRMED,0
60,6,2,1,0,SILVER,464,2026-02-15T02:00:00,2026-03-03T16:00:00,16,398,16,1,0,27.55,EN,Comedy,57,0,CANCELLED,1
61,6,3,1,1,SILVER,464,2026-02-05T03:00:00,2026-02-11T04:00:00,6,145,4,2,0,18.72,VO,Action,20,0,CONFIRMED,0
62,6,4,1,2,SILVER,464,2026-02-24T08:00:00,2026-03-05T10:00:00,9,218,10,3,0,20.15,EN,Drama,27,0,CONFIRMED,0
63,6,5,1,4,SILVER,464,2025-11-21T10:00:00,2025-12-09T22:00:00,18,444,22,1,0,29.61,EN,Horror,46,0,CONFIRMED,0
64,6,6,2,4,SILVER,464,2026-01-01T17:00:00,2026-01-17T21:00:00,16,388,21,5,1,26.69,AR,Thriller,63,0,CANCELLED,1
65,6,7,3,5,SILVER,464,2025-12-28T19:00:00,2025-12-29T15:00:00,1,20,15,0,0,19.78,EN,Romance,93,0,CANCELLED,1
66,6,8,4,7,SILVER,464,2025-12-21T06:00:00,2026-01-03T18:00:00,13,324,18,5,1,22.68,VO,Animation,85,0,CANCELLED,1
67,6,9,5,8,SILVER,464,2025-11-05T21:00:00,2025-11-09T00:00:00,4,75,0,6,1,29.34,FR,Comedy,42,0,CANCELLED,1
68,6,10,6,6,SILVER,464,2026-01-26T00:00:00,2026-02-11T11:00:00,16,395,11,2,0,29.59,FR,Thriller,54,0,CANCELLED,1
69,6,11,6,0,SILVER,464,2026-03-29T19:00:00,2026-03-30T10:00:00,1,15,10,0,0,26.98,FR,Thriller,29,0,PENDING,0
70,6,12,7,11,SILVER,464,2025-11-04T09:00:00,2025-11-20T17:00:00,16,392,17,3,0,12.62,FR,Romance,80,0,CANCELLED,1
71,6,13,7,3,SILVER,464,2026-03-17T19:00:00,2026-04-01T07:00:00,15,348,7,2,0,14.29,VO,Horror,33,0,CONFIRMED,0
72,7,1,0,0,GOLD,818,2026-03-22T16:00:00,2026-03-23T11:00:00,1,19,11,0,0,30.58,EN,Thriller,49,0,CONFIRMED,0
73,7,2,0,1,GOLD,818,2026-03-30T16:00:00,2026-04-14T15:00:00,15,359,15,1,0,28.61,FR,Sci-Fi,39,0,CONFIRMED,0
74,7,3,0,2,GOLD,818,2026-03-19T16:00:00,2026-04-05T14:00:00,17,406,14,6,1,12.82,EN,Sci-Fi,9,1,CONFIRMED,0
75,7,4,0,3,GOLD,818,2026-01-01T19:00:00,2026-01-04T07:00:00,3,60,7,6,1,20.67,FR,Thriller,59,0,CONFIRMED,0
76,7,5,0,4,GOLD,818,2025-12-07T02:00:00,2025-12-20T11:00:00,13,321,11,5,1,28.16,EN,Horror,56,0,CONFIRMED,0
77,7,6,0,4,GOLD,818,2026-01-27T03:00:00,2026-02-14T02:00:00,18,431,2,5,1,30.69,FR,Horror,97,0,CONFIRMED,0
78,7,7,0,5,GOLD,818,2026-01-12T00:00:00,2026-01-12T20:00:00,0,20,20,0,0,21.89,FR,Horror,46,0,CONFIRMED,0
79,7,8,0,7,GOLD,818,2025-11-18T02:00:00,2025-11-30T04:00:00,12,290,4,6,1,12.2,VO,Action,93,0,CONFIRMED,0
80,7,9,0,4,GOLD,818,2026-02-16T19:00:00,2026-03-02T19:00:00,14,336,19,0,0,26.24,FR,Action,38,0,CONFIRMED,0
81,7,10,0,7,GOLD,818,2026-01-30T16:00:00,2026-02-07T18:00:00,8,194,18,5,1,21.47,EN,Drama,96,0,CONFIRMED,0
82,7,11,0,9,GOLD,818,2025-12-24T02:00:00,2025-12-30T20:00:00,6,162,20,1,0,17.03,FR,Comedy,16,0,PENDING,0
83,7,12,0,11,GOLD,818,2025-10-25T05:00:00,2025-10-29T13:00:00,4,104,13,2,0,16.33,EN,Sci-Fi,98,0,CONFIRMED,0
84,7,13,0,3,GOLD,818,2026-03-25T04:00:00,2026-03-31T17:00:00,6,157,17,1,0,16.55,FR,Action,69,0,CONFIRMED,0
85,7,14,0,4,GOLD,818,2026-04-05T17:00:00,2026-04-12T04:00:00,7,155,4,6,1,25.95,FR,Romance,63,0,CONFIRMED,0
86,7,15,0,9,GOLD,818,2026-02-05T19:00:00,2026-02-16T06:00:00,11,251,6,0,0,20.81,FR,Action,111,0,PENDING,0
87,8,1,0,0,SILVER,482,2026-03-12T06:00:00,2026-03-29T19:00:00,17,421,19,6,1,23.26,FR,Thriller,16,0,CONFIRMED,0
88,8,2,0,1,SILVER,482,2025-11-18T03:00:00,2025-12-04T22:00:00,16,403,22,3,0,22.45,FR,Drama,111,0,CONFIRMED,0
89,8,3,0,2,SILVER,482,2025-11-25T09:00:00,2025-12-08T15:00:00,13,318,15,0,0,31.2,FR,Romance,81,0,CONFIRMED,0
90,8,4,0,1,SILVER,482,2026-03-10T03:00:00,2026-03-14T01:00:00,4,94,1,5,1,23.04,FR,Drama,89,0,CONFIRMED,0
91,8,5,0,2,SILVER,482,2026-02-19T01:00:00,2026-03-06T08:00:00,15,367,8,4,0,17.65,AR,Action,30,0,PENDING,0
92,8,6,0,5,SILVER,482,2025-11-09T16:00:00,2025-11-24T00:00:00,15,344,0,0,0,28.08,FR,Action,29,0,PENDING,0
93,8,7,0,3,SILVER,482,2026-03-14T08:00:00,2026-03-15T20:00:00,1,36,20,6,1,15.32,FR,Sci-Fi,73,0,CONFIRMED,0
94,8,8,0,5,SILVER,482,2025-12-21T01:00:00,2026-01-05T05:00:00,15,364,5,0,0,20.05,FR,Animation,57,0,CONFIRMED,0
95,8,9,0,5,SILVER,482,2025-12-30T00:00:00,2026-01-12T03:00:00,13,315,3,0,0,17.01,FR,Thriller,108,0,CONFIRMED,0
96,8,10,0,1,SILVER,482,2026-04-14T02:00:00,2026-04-26T15:00:00,12,301,15,6,1,12.8,AR,Horror,84,0,CONFIRMED,0
97,8,11,0,10,SILVER,482,2025-11-20T21:00:00,2025-12-04T16:00:00,14,331,16,3,0,28.28,VO,Horror,53,0,CONFIRMED,0
98,8,12,0,5,SILVER,482,2026-03-09T00:00:00,2026-03-18T00:00:00,9,216,0,2,0,25.87,FR,Thriller,105,0,CONFIRMED,0
99,9,1,0,0,BRONZE,102,2025-12-09T10:00:00,2025-12-23T16:00:00,14,342,16,1,0,29.39,EN,Action,67,0,PENDING,0
100,9,2,0,1,BRONZE,102,2025-11-09T20:00:00,2025-11-26T07:00:00,17,395,7,2,0,13.03,FR,Action,37,0,CONFIRMED,0
101,9,3,1,0,BRONZE,102,2026-03-19T10:00:00,2026-04-02T02:00:00,14,328,2,3,0,24.18,FR,Comedy,71,0,CANCELLED,1
102,9,4,1,2,BRONZE,102,2026-01-05T08:00:00,2026-01-10T09:00:00,5,121,9,5,1,31.85,VO,Horror,16,0,CONFIRMED,0
103,9,5,1,2,BRONZE,102,2026-02-03T18:00:00,2026-02-19T01:00:00,16,367,1,3,0,17.47,AR,Thriller,32,0,CONFIRMED,0
104,9,6,1,2,BRONZE,102,2026-03-01T18:00:00,2026-03-17T22:00:00,16,388,22,1,0,29.59,AR,Comedy,102,0,CONFIRMED,0
105,9,7,1,5,BRONZE,102,2025-12-11T02:00:00,2025-12-28T20:00:00,17,426,20,6,1,12.05,AR,Romance,75,0,CONFIRMED,0
106,10,1,0,0,BRONZE,143,2025-11-28T17:00:00,2025-12-07T00:00:00,9,199,0,6,1,21.11,FR,Comedy,90,0,CONFIRMED,0
107,10,2,0,0,BRONZE,143,2026-01-04T09:00:00,2026-01-11T09:00:00,7,168,9,6,1,26.89,AR,Romance,50,0,PENDING,0
108,10,3,0,2,BRONZE,143,2025-11-04T06:00:00,2025-11-15T01:00:00,11,259,1,5,1,31.3,FR,Thriller,43,0,PENDING,0
109,10,4,0,2,BRONZE,143,2025-12-28T07:00:00,2026-01-08T18:00:00,11,275,18,3,0,30.21,FR,Comedy,112,0,CONFIRMED,0
110,10,5,0,3,BRONZE,143,2025-12-20T02:00:00,2025-12-27T13:00:00,7,179,13,5,1,24.47,FR,Action,43,0,PENDING,0
111,10,6,0,3,BRONZE,143,2026-01-12T00:00:00,2026-01-25T14:00:00,13,326,14,6,1,26.37,AR,Thriller,5,1,CONFIRMED,0
112,10,7,0,6,BRONZE,143,2025-10-26T01:00:00,2025-10-31T03:00:00,5,122,3,4,0,26.94,FR,Action,82,0,CONFIRMED,0
113,10,8,0,0,BRONZE,143,2026-03-08T01:00:00,2026-03-27T13:00:00,19,468,13,4,0,12.58,FR,Action,46,0,CONFIRMED,0
114,11,1,0,0,BRONZE,66,2026-03-29T22:00:00,2026-04-12T09:00:00,14,323,9,6,1,25.66,EN,Animation,30,0,CONFIRMED,0
115,11,2,1,1,BRONZE,66,2026-02-13T10:00:00,2026-03-04T20:00:00,19,466,20,2,0,28.09,VO,Sci-Fi,21,0,CANCELLED,1
116,11,3,1,2,BRONZE,66,2026-01-20T16:00:00,2026-01-27T07:00:00,7,159,7,1,0,24.78,FR,Comedy,109,0,PENDING,0
117,11,4,1,3,BRONZE,66,2025-12-17T07:00:00,2025-12-22T14:00:00,5,127,14,0,0,19.63,FR,Comedy,90,0,PENDING,0
118,11,5,1,4,BRONZE,66,2025-11-01T22:00:00,2025-11-08T00:00:00,7,146,0,5,1,12.16,AR,Romance,7,1,PENDING,0
119,11,6,1,3,BRONZE,66,2026-02-05T03:00:00,2026-02-18T07:00:00,13,316,7,2,0,28.04,FR,Comedy,33,0,PENDING,0
120,11,7,1,6,BRONZE,66,2025-11-02T06:00:00,2025-11-15T21:00:00,13,327,21,5,1,13.94,EN,Action,101,0,CONFIRMED,0
121,11,8,1,1,BRONZE,66,2026-03-17T08:00:00,2026-04-05T23:00:00,19,471,23,6,1,17.9,AR,Comedy,17,0,PENDING,0
122,11,9,1,6,BRONZE,66,2026-01-15T18:00:00,2026-01-26T16:00:00,11,262,16,0,0,30.27,AR,Comedy,106,0,PENDING,0
123,11,10,1,6,BRONZE,66,2026-02-03T00:00:00,2026-02-20T09:00:00,17,417,9,4,0,14.3,VO,Comedy,29,0,PENDING,0
124,11,11,1,8,BRONZE,66,2026-01-07T17:00:00,2026-01-15T18:00:00,8,193,18,3,0,13.81,FR,Comedy,16,0,CONFIRMED,0
125,11,12,1,11,BRONZE,66,2025-10-29T02:00:00,2025-11-10T19:00:00,12,305,19,0,0,19.62,EN,Drama,87,0,CONFIRMED,0
126,11,13,1,12,BRONZE,66,2025-11-27T00:00:00,2025-12-16T18:00:00,19,474,18,1,0,24.2,EN,Sci-Fi,60,0,CONFIRMED,0
127,11,14,2,9,BRONZE,66,2026-01-05T07:00:00,2026-01-08T12:00:00,3,77,12,3,0,12.91,FR,Thriller,15,0,CANCELLED,1
128,12,1,1,0,BRONZE,136,2025-10-22T17:00:00,2025-10-31T21:00:00,9,220,21,4,0,23.75,AR,Thriller,84,0,CANCELLED,1
129,12,2,1,0,BRONZE,136,2025-12-14T21:00:00,2025-12-21T02:00:00,7,149,2,6,1,12.65,FR,Drama,31,0,CONFIRMED,0
130,12,3,2,2,BRONZE,136,2025-10-25T23:00:00,2025-11-06T19:00:00,12,284,19,3,0,30.03,EN,Action,36,0,CANCELLED,1
131,12,4,3,0,BRONZE,136,2026-03-18T20:00:00,2026-03-21T00:00:00,3,52,0,5,1,25.26,EN,Animation,3,1,CANCELLED,1
132,12,5,4,1,BRONZE,136,2026-01-24T03:00:00,2026-01-27T01:00:00,3,70,1,1,0,27.74,FR,Romance,71,0,CANCELLED,1
133,12,6,4,2,BRONZE,136,2026-02-23T03:00:00,2026-03-02T09:00:00,7,174,9,0,0,27.49,AR,Animation,36,0,CONFIRMED,0
134,12,7,5,2,BRONZE,136,2026-03-16T17:00:00,2026-03-22T07:00:00,6,134,7,6,1,27.97,FR,Romance,17,0,CANCELLED,1
135,12,8,5,4,BRONZE,136,2026-02-17T16:00:00,2026-02-24T19:00:00,7,171,19,1,0,12.32,FR,Action,54,0,PENDING,0
136,12,9,5,6,BRONZE,136,2025-12-18T20:00:00,2026-01-04T16:00:00,17,404,16,6,1,19.24,EN,Horror,29,0,CONFIRMED,0
137,12,10,5,9,BRONZE,136,2025-11-01T18:00:00,2025-11-08T10:00:00,7,160,10,5,1,21.16,VO,Action,62,0,CONFIRMED,0
138,12,11,6,3,BRONZE,136,2026-03-22T19:00:00,2026-04-07T05:00:00,16,370,5,1,0,30.19,FR,Action,78,0,CANCELLED,1
139,12,12,6,5,BRONZE,136,2026-03-18T02:00:00,2026-03-31T15:00:00,13,325,15,1,0,24.66,EN,Drama,77,0,CONFIRMED,0
140,12,13,6,12,BRONZE,136,2025-11-15T21:00:00,2025-11-18T05:00:00,3,56,5,1,0,27.86,FR,Sci-Fi,113,0,PENDING,0
141,12,14,6,7,BRONZE,136,2026-02-22T21:00:00,2026-03-04T18:00:00,10,237,18,2,0,29.76,FR,Romance,52,0,CONFIRMED,0
142,13,1,0,0,BRONZE,85,2025-10-25T19:00:00,2025-10-27T11:00:00,2,40,11,0,0,13.82,FR,Drama,96,0,PENDING,0
143,13,2,0,0,BRONZE,85,2025-11-28T09:00:00,2025-12-11T03:00:00,13,306,3,3,0,31.13,EN,Sci-Fi,53,0,CONFIRMED,0
144,13,3,0,0,BRONZE,85,2026-01-01T09:00:00,2026-01-07T18:00:00,6,153,18,2,0,24.01,FR,Animation,28,0,CONFIRMED,0
145,13,4,0,0,BRONZE,85,2026-03-22T23:00:00,2026-04-10T05:00:00,19,438,5,4,0,23.13,FR,Comedy,29,0,PENDING,0
146,13,5,1,4,BRONZE,85,2025-11-10T17:00:00,2025-11-11T12:00:00,1,19,12,1,0,24.18,EN,Sci-Fi,4,1,CANCELLED,1
147,13,6,1,5,BRONZE,85,2025-10-22T01:00:00,2025-11-10T22:00:00,19,477,22,0,0,18.8,FR,Romance,73,0,CONFIRMED,0
148,13,7,2,6,BRONZE,85,2025-11-08T10:00:00,2025-11-10T14:00:00,2,52,14,0,0,26.92,FR,Drama,44,0,CANCELLED,1
149,13,8,3,2,BRONZE,85,2026-01-30T00:00:00,2026-02-15T19:00:00,16,403,19,6,1,30.83,EN,Thriller,20,0,CANCELLED,1
150,13,9,3,8,BRONZE,85,2025-11-12T09:00:00,2025-11-27T00:00:00,15,351,0,3,0,13.63,FR,Drama,78,0,CONFIRMED,0
151,13,10,3,7,BRONZE,85,2025-12-09T07:00:00,2025-12-16T21:00:00,7,182,21,1,0,20.6,FR,Sci-Fi,63,0,CONFIRMED,0
152,13,11,4,2,BRONZE,85,2026-02-21T22:00:00,2026-03-06T22:00:00,13,312,22,4,0,13.1,FR,Thriller,99,0,CANCELLED,1
153,13,12,4,3,BRONZE,85,2026-02-13T01:00:00,2026-02-20T06:00:00,7,173,6,4,0,14.4,EN,Drama,17,0,CONFIRMED,0
154,14,1,0,0,SILVER,196,2026-04-08T21:00:00,2026-04-09T12:00:00,1,15,12,3,0,21.2,FR,Drama,55,0,CONFIRMED,0
155,14,2,0,1,SILVER,196,2026-01-03T01:00:00,2026-01-05T17:00:00,2,64,17,0,0,20.1,VO,Comedy,80,0,CONFIRMED,0
156,14,3,1,2,SILVER,196,2026-01-17T08:00:00,2026-01-26T21:00:00,9,229,21,0,0,28.89,FR,Animation,68,0,CANCELLED,1
157,14,4,1,3,SILVER,196,2026-01-30T00:00:00,2026-02-03T23:00:00,4,119,23,1,0,18.66,FR,Horror,15,0,CONFIRMED,0
158,14,5,2,4,SILVER,196,2026-01-19T23:00:00,2026-02-04T17:00:00,16,378,17,2,0,31.16,EN,Comedy,14,0,CANCELLED,1
159,14,6,2,2,SILVER,196,2026-02-28T05:00:00,2026-03-13T07:00:00,13,314,7,4,0,15.06,AR,Action,99,0,CONFIRMED,0
160,14,7,2,6,SILVER,196,2025-11-25T16:00:00,2025-12-05T11:00:00,10,235,11,4,0,25.62,VO,Sci-Fi,80,0,PENDING,0
161,14,8,2,6,SILVER,196,2026-01-29T06:00:00,2026-02-07T21:00:00,9,231,21,5,1,13.37,FR,Drama,36,0,CONFIRMED,0
162,14,9,2,1,SILVER,196,2026-04-01T01:00:00,2026-04-11T03:00:00,10,242,3,5,1,21.04,FR,Romance,10,1,PENDING,0
163,14,10,3,3,SILVER,196,2026-03-26T18:00:00,2026-04-04T04:00:00,9,202,4,5,1,21.25,EN,Romance,115,0,CANCELLED,1
164,14,11,4,10,SILVER,196,2025-11-24T04:00:00,2025-12-01T06:00:00,7,170,6,0,0,24.1,EN,Thriller,58,0,CANCELLED,1
165,14,12,4,9,SILVER,196,2026-01-22T08:00:00,2026-02-02T08:00:00,11,264,8,0,0,24.92,FR,Sci-Fi,57,0,CONFIRMED,0
166,14,13,5,10,SILVER,196,2026-01-15T23:00:00,2026-02-04T18:00:00,20,475,18,2,0,17.66,FR,Drama,77,0,CANCELLED,1
167,14,14,5,13,SILVER,196,2025-11-09T00:00:00,2025-11-10T15:00:00,1,39,15,0,0,18.59,EN,Drama,33,0,CONFIRMED,0
168,15,1,0,0,GOLD,1096,2025-11-01T06:00:00,2025-11-21T01:00:00,20,475,1,4,0,19.0,VO,Sci-Fi,51,0,CONFIRMED,0
169,15,2,0,0,GOLD,1096,2026-03-29T01:00:00,2026-04-10T05:00:00,12,292,5,4,0,19.53,AR,Romance,86,0,PENDING,0
170,15,3,0,2,GOLD,1096,2025-10-25T18:00:00,2025-10-27T23:00:00,2,53,23,0,0,24.92,FR,Drama,47,0,PENDING,0
171,15,4,0,1,GOLD,1096,2026-01-21T19:00:00,2026-01-26T03:00:00,5,104,3,0,0,16.53,FR,Action,109,0,CONFIRMED,0
172,15,5,0,3,GOLD,1096,2025-12-01T18:00:00,2025-12-02T19:00:00,1,25,19,1,0,25.24,AR,Animation,77,0,CONFIRMED,0
173,15,6,0,5,GOLD,1096,2025-10-24T05:00:00,2025-11-08T20:00:00,15,375,20,5,1,20.75,FR,Sci-Fi,31,0,CONFIRMED,0
174,15,7,0,3,GOLD,1096,2025-12-26T03:00:00,2026-01-06T18:00:00,11,279,18,1,0,16.78,VO,Romance,116,0,CONFIRMED,0
